site,cam,date_time,presence,count,collar,dist_urban,dist_mata,dist_rocio,dist_road,dist_marshes,dogs_id,season,time_sunset,time_sunrise
38,38,12/12/2020 10:34,yes,2,no,3.775,11.918,3.775,3.488,0.526,dog16 dog17,winter,4.498513425,1.969167729
32,32,21/01/2021 17:28,yes,2,no,2.182,2.182,12.973,2.237,7.181,dog3 dog2,winter,4.624249853,1.99331145
11,11,04/02/2021 18:52,yes,2,no,17.29,17.29,29.366,17.205,0.7,dog5 dog6,winter,4.691008697,1.950769049
37,37,05/03/2021 17:00,yes,2,yes,3.519,17.492,3.519,0.602,0.469,dog22 dog23,winter,4.821035726,1.800816178
22B,22,29/11/2021 10:52,yes,2,yes (1),1.4,1.4,13.158,1.394,8.98,dog9 dog12,autumn,4.500258754,1.919934899
26B,4,03/04/2022 2:53,yes,1,no,5.144,11.638,5.144,4.826,0.559,dog4,spring,4.932518632,1.615229501
23B,1,04/04/2022 6:51,yes,2,no,6.266,8.985,6.266,3.217,3.03,dog10 dog4,spring,4.936300179,1.60882996
26B,4,19/04/2022 6:51,yes,2,no,5.144,11.638,5.144,4.826,0.559,dog1 dog4,spring,4.993896044,1.517200174
20,20,24/04/2022 15:40,yes,3,no,6.758,6.758,7.851,1.944,5.272,dog1 dog15 dog4,spring,5.013385554,1.489347628
23B,1,30/05/2022 23:20,yes,1,no,6.266,8.985,6.266,3.217,3.03,dog4,spring,5.14646691,1.353502835
51,55,14/08/2022 11:35,yes,1,no,24.951,24.951,37.658,24.858,2.068,dog34,summer,5.065527266,1.496838
59,77,20/08/2022 23:05,yes,5,yes,3.284,3.284,15.552,2.88,4.23,dog35 dog36 dog37 dog38 dog39,summer,5.032947786,1.518800059
39B,39,15/09/2022 1:50,yes,1,no,2.377,2.377,14.446,2.078,5.17,dog24,summer,4.876231764,1.607302797
46,67,17/10/2022 6:18,yes,2,no,6.582,10.983,6.582,6.14,0.06,dog4 dog1,autumn,4.662647097,1.728675902
46,67,19/10/2022 9:07,yes,1,no,6.582,10.983,6.582,6.14,0.06,dog1,autumn,4.65108429,1.736820772
68,56,22/10/2022 10:23,yes,1,no,7.854,7.854,13.305,7.513,0.074,dog4,autumn,4.634358218,1.749328965
57,73,15/11/2022 20:04,yes,1,yes,2.106,16.606,2.106,0.45,1.885,dog25,autumn,4.529929351,1.856593992
56,69,22/11/2022 9:31,yes,2,yes,3.695,17.825,3.695,0.341,0.424,dog25 dog18,autumn,4.511894283,1.888373529
46,67,22/11/2022 10:20,yes,2,yes,6.582,10.983,6.582,6.14,0.06,dog20 dog21,autumn,4.511894283,1.888373529
19B,19,30/11/2022 11:57,yes,1,no,7.212,7.212,8.795,4.869,3.357,dog15,autumn,4.499531534,1.922989225
48,64,30/11/2022 15:10,yes,1,no,5.086,5.086,9.804,2.714,6.152,dog4,autumn,4.499531534,1.922989225
57,73,03/12/2022 9:24,yes,1,yes,2.106,16.606,2.106,0.45,1.885,dog25,autumn,4.497204428,1.935133808
29,5,04/12/2022 13:14,yes,1,yes,7.666,7.666,9.778,6.877,1.811,dog25,autumn,4.496695374,1.938988077
61,74,04/12/2022 15:27,yes,2,yes (1),6.178,6.178,11.366,6.026,2.569,dog25 dog19,autumn,4.496695374,1.938988077
57,73,16/12/2022 2:04,yes,3,no,2.106,16.606,2.106,0.45,1.885,dog13 dog7 dog8,autumn,4.502294972,1.97949426
57,73,17/12/2022 8:15,yes,1,yes,2.106,16.606,2.106,0.45,1.885,dog25,autumn,4.503676691,1.982184976
34,50,31/12/2022 18:24,yes,2,no,3.552,14.914,3.552,2.917,0.126,dog4 dog1,winter,4.536765224,2.007419528
57,73,10/01/2023 13:17,yes,1,yes,2.106,16.606,2.106,0.45,1.885,dog25,winter,4.573489861,2.009019413
44,62,27/02/2023 9:46,yes,1,no,4.384,10.485,4.384,2.223,2.005,dog14,winter,4.793692235,1.83986792
35,35,16/08/2023 16:13,yes,1,yes,6.538,6.538,15.593,6.127,0.993,dog31,summer,5.056364287,1.50323754
56,69,11/01/2024 19:44,yes,2,yes,3.695,17.825,3.695,0.341,0.424,dog32 dog33,winter,4.576471465,2.008583081
10B,10,NA,no,0,NA,9.097,9.097,9.583,7.929,0.382,NA,NA,NA,NA
12,45,NA,no,0,NA,8.754,8.754,20.974,8.73,1.696,NA,NA,NA,NA
13,44,NA,no,0,NA,10.907,10.907,22.674,10.894,1.239,NA,NA,NA,NA
14B,46,NA,no,0,NA,15.691,15.691,27.299,15.64,1.16,NA,NA,NA,NA
16B,16,NA,no,0,NA,8.536,8.536,21.842,8.472,3.02,NA,NA,NA,NA
17B,17,NA,no,0,NA,4.448,4.448,15.954,4.098,3.097,NA,NA,NA,NA
18B,18,NA,no,0,NA,5.224,18.133,5.224,1.338,0.135,NA,NA,NA,NA
21B,21,NA,no,0,NA,7.728,7.728,18.487,7.535,0.27,NA,NA,NA,NA
24,24,NA,no,0,NA,6.337,6.337,13.274,6.01,1.465,NA,NA,NA,NA
25B,25,NA,no,0,NA,3.937,3.937,10.329,0.913,7.945,NA,NA,NA,NA
27,3,NA,no,0,NA,0.348,0.348,14.958,0.352,7.718,NA,NA,NA,NA
28,28,NA,no,0,NA,8.226,8.226,11.352,8.003,0.417,NA,NA,NA,NA
30,2,NA,no,0,NA,7.831,10.501,7.831,7.167,0.211,NA,NA,NA,NA
31B,31,NA,no,0,NA,5.142,5.142,10.594,4.555,4.86,NA,NA,NA,NA
33,33,NA,no,0,NA,23.5,23.5,35.748,23.409,1.047,NA,NA,NA,NA
36,36,NA,no,0,NA,6.639,9.932,6.639,5.228,1.022,NA,NA,NA,NA
41B,41,NA,no,0,NA,18.894,18.894,31.911,18.801,2.86,NA,NA,NA,NA
42B,42,NA,no,0,NA,13.366,13.366,24.902,13.341,1.694,NA,NA,NA,NA
43,48,NA,no,0,NA,5.705,5.705,17.797,5.541,2.128,NA,NA,NA,NA
45,72,NA,no,0,NA,3.564,10.95,3.564,1.386,2.015,NA,NA,NA,NA
47,71,NA,no,0,NA,8.182,8.724,8.182,5.983,1.749,NA,NA,NA,NA
49,66,NA,no,0,NA,21.199,21.199,34.295,21.105,3.435,NA,NA,NA,NA
50,63,NA,no,0,NA,23.253,23.253,36.104,23.159,2.623,NA,NA,NA,NA
52,54,NA,no,0,NA,20.112,20.112,32.231,20.023,1.157,NA,NA,NA,NA
53,57,NA,no,0,NA,14.746,14.746,25.262,14.705,0.19,NA,NA,NA,NA
54,80,NA,no,0,NA,12.515,12.515,23.441,12.469,0.731,NA,NA,NA,NA
55,52,NA,no,0,NA,14.816,14.816,28.041,14.724,3.426,NA,NA,NA,NA
58,61,NA,no,0,NA,1.732,1.732,15.805,1.355,5.768,NA,NA,NA,NA
60,53,NA,no,0,NA,3.116,3.116,12.932,3.077,5.333,NA,NA,NA,NA
62,59,NA,no,0,NA,12.758,12.758,26.019,12.668,4.534,NA,NA,NA,NA
63,79,NA,no,0,NA,4.094,4.094,17.162,3.935,3.74,NA,NA,NA,NA
64,76,NA,no,0,NA,9.433,9.433,20.681,9.346,0.652,NA,NA,NA,NA
65,60,NA,no,0,NA,6.93,6.93,19.869,6.92,1.856,NA,NA,NA,NA
66,75,NA,no,0,NA,8.003,8.003,17.119,7.684,0.369,NA,NA,NA,NA
67,70,NA,no,0,NA,5.023,5.023,14.593,4.607,2.455,NA,NA,NA,NA
6B,65,NA,no,0,NA,4.7,4.7,13.079,4.44,3.21,NA,NA,NA,NA
7B,47,NA,no,0,NA,21.57,21.57,33.728,21.48,1.156,NA,NA,NA,NA
8,8,NA,no,0,NA,3.178,3.178,11.501,2.225,7.709,NA,NA,NA,NA
9,9,NA,no,0,NA,18.933,18.933,30.832,18.847,0.347,NA,NA,NA,NA
